,Title,published_date,Views,Likes,comments,Published_date,Comments,Month
92,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14T13:00:03Z,10596,490,134,2021-05-14,134,May
93,What is a lambda function (python)? #shorts,2021-05-13T00:38:55Z,15267,941,49,2021-05-13,49,May
94,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07T13:00:30Z,29572,1569,64,2021-05-07,64,May
95,What is Pandas? (Data & Data Science) #shorts,2021-04-30T13:00:07Z,23621,1213,87,2021-04-30,87,Apr
96,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23T13:00:14Z,77059,3431,284,2021-04-23,284,Apr
97,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16T13:00:00Z,23472,693,85,2021-04-16,85,Apr
98,Why You Probably Won't Become a Data Scientist,2021-04-09T13:00:31Z,138046,4038,480,2021-04-09,480,Apr
99,How to Go From Data Analyst to Data Scientist,2021-04-02T13:00:14Z,53487,1532,177,2021-04-02,177,Apr
100,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26T13:00:03Z,3974,138,92,2021-03-26,92,Mar
101,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19T13:00:32Z,18169,350,108,2021-03-19,108,Mar
102,My Regrets as a Data Science Student,2021-03-12T13:00:27Z,23928,882,112,2021-03-12,112,Mar
103,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08T13:00:06Z,3828,196,83,2021-03-08,83,Mar
104,What is the Future of my Comment Leaderboard Project?,2021-02-26T14:00:15Z,5568,201,81,2021-02-26,81,Feb
105,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19T13:00:14Z,6709,172,51,2021-02-19,51,Feb
106,Why I Quit Data Science,2021-02-12T13:00:19Z,104568,2342,346,2021-02-12,346,Feb
107,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29T13:00:06Z,10700,555,116,2021-01-29,116,Jan
108,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23T14:00:30Z,6994,294,126,2021-01-23,126,Jan
109,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16T14:00:10Z,9656,299,52,2021-01-16,52,Jan
110,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08T13:00:16Z,22527,695,134,2021-01-08,134,Jan
111,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02T14:00:26Z,37517,1137,147,2021-01-02,147,Jan
112,What is the #66DaysOfData?,2020-12-26T14:00:31Z,69775,2325,202,2020-12-26,202,Dec
113,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19T14:00:01Z,131411,5970,488,2020-12-19,488,Dec
114,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10T13:00:09Z,10879,397,133,2020-12-10,133,Dec
115,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07T14:00:11Z,23468,727,326,2020-12-07,326,Dec
116,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20T13:00:26Z,27782,854,160,2020-11-20,160,Nov
117,6 Lessons from #66DaysOfData,2020-11-13T13:00:02Z,6728,340,93,2020-11-13,93,Nov
118,100K Channel Update + AMA Stream!,2020-11-12T17:34:26Z,2319,127,22,2020-11-12,22,Nov
119,Find a Data Science Project With These 3 Techniques,2020-11-06T13:00:13Z,16748,725,106,2020-11-06,106,Nov
120,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30T14:00:07Z,26993,673,155,2020-10-30,155,Oct
121,git for Data Science Made Simple... (Hopefully),2020-10-23T15:00:10Z,19523,864,92,2020-10-23,92,Oct
122,The PODCAST you might have asked for?,2020-10-19T15:00:11Z,2113,94,44,2020-10-19,44,Oct
123,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16T15:00:18Z,6734,448,113,2020-10-16,113,Oct
124,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14T15:00:11Z,14067,413,47,2020-10-14,47,Oct
125,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12T15:00:00Z,6769,142,62,2020-10-12,62,Oct
126,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09T15:00:09Z,11408,564,83,2020-10-09,83,Oct
127,Sh*t Data Scientists Say (Parody),2020-10-05T15:00:08Z,9475,577,143,2020-10-05,143,Oct
128,5 Proven Strategies to Break into a Data Science Job,2020-10-02T15:00:08Z,8615,366,93,2020-10-02,93,Oct
129,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30T15:00:09Z,7067,289,61,2020-09-30,61,Sep
130,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28T15:00:04Z,11632,290,69,2020-09-28,69,Sep
131,5 Essential Data Science Projects for Your Portfolio,2020-09-26T15:00:06Z,72647,3098,208,2020-09-26,208,Sep
132,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23T15:00:02Z,5179,197,64,2020-09-23,64,Sep
133,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21T15:00:03Z,11727,457,58,2020-09-21,58,Sep
134,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18T16:00:10Z,7434,252,34,2020-09-18,34,Sep
135,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16T15:00:24Z,5103,193,56,2020-09-16,56,Sep
136,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14T15:00:00Z,4236,158,35,2020-09-14,35,Sep
137,The 5 Pillars of Success I Live By,2020-09-11T15:00:11Z,10137,874,152,2020-09-11,152,Sep
138,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09T15:00:12Z,1889,78,25,2020-09-09,25,Sep
139,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07T15:00:30Z,4024,162,43,2020-09-07,43,Sep
140,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04T15:00:00Z,11802,735,144,2020-09-04,144,Sep
141,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02T15:00:13Z,17932,570,89,2020-09-02,89,Sep
